1	12	4
1	15	4
1	20	4
1	21	1
1	22	3
1	33	3
2	4	3
2	30	1
2	41	1
2	43	4
3	11	4
3	32	0
3	37	0
3	38	0
4	10	4
4	11	2
4	19	4
4	21	0
4	44	4
5	5	2
5	6	0
5	20	3
5	37	2
5	38	1
5	40	2
6	10	3
6	15	4
6	17	3
6	22	2
6	42	2
7	2	0
7	13	4
7	14	4
7	37	4
8	7	4
8	23	1
8	25	2
8	49	4
9	10	0
9	24	0
9	27	2
9	33	2
9	46	1
10	17	3
10	19	0
10	22	3
10	28	3
10	32	3
10	37	4
10	42	4
10	48	3
11	4	1
11	8	2
11	23	0
12	4	4
12	28	3
12	39	4
13	7	1
13	25	0
13	39	1
13	40	3
13	49	3
14	13	2
14	16	3
14	24	4
14	30	0
14	41	4
14	49	4
14	50	2
15	6	1
15	9	0
15	14	0
15	28	2
15	42	4
15	44	0
15	45	1
16	4	2
17	6	2
17	7	2
17	11	0
17	21	2
17	24	3
17	31	1
17	50	0
18	6	2
18	21	1
18	26	4
19	6	0
19	23	0
19	29	2
19	42	4
19	45	0
20	8	2
20	24	1
20	25	2
21	4	4
21	11	4
21	23	0
22	3	1
22	27	3
22	29	3
22	43	0
22	48	3
22	50	2
23	5	3
23	13	4
23	15	4
23	19	4
23	20	2
23	21	2
24	18	4
24	29	2
24	35	1
24	40	0
24	48	0
25	6	0
25	14	0
25	20	2
25	26	3
25	28	4
25	34	2
25	37	4
26	21	1
26	24	1
26	30	0
26	37	2
27	9	2
27	15	4
27	19	4
27	26	4
27	32	4
27	34	4
27	41	3
27	50	2
28	4	3
28	15	2
28	26	3
28	35	0
29	23	4
29	26	3
29	28	1
30	6	4
30	11	3
30	20	1
31	3	4
31	9	0
31	13	1
31	16	0
31	18	2
31	20	4
31	31	4
31	35	1
31	40	4
32	24	3
32	26	0
32	35	3
33	15	0
33	27	0
33	28	3
33	31	3
34	9	0
34	10	0
34	16	0
34	28	3
34	34	0
34	46	4
34	49	1
35	17	1
35	43	4
35	46	2
36	1	3
36	3	3
36	18	4
36	22	3
36	25	0
36	27	0
36	32	2
36	34	1
36	35	4
36	44	0
37	4	2
37	9	3
37	18	4
37	20	4
37	49	0
38	35	3
38	43	3
38	48	0
39	16	2
39	19	1
39	23	2
39	29	4
39	33	0
39	34	1
39	41	2
40	2	0
40	8	3
40	18	4
40	23	3
40	40	1
41	5	4
41	20	3
41	24	3
41	27	4
41	50	2
42	2	3
42	3	4
42	5	1
42	31	4
42	36	1
42	37	2
42	38	2
42	42	1
42	45	2
42	46	3
43	1	1
43	5	1
43	31	0
43	43	3
44	6	1
44	7	1
44	12	4
44	29	4
44	33	2
44	38	0
44	39	1
44	44	0
44	45	4
45	1	1
45	15	4
46	11	1
46	12	4
46	34	2
46	35	2
46	43	2
47	12	0
47	14	2
47	15	3
47	20	4
47	29	4
47	30	2
47	37	4
47	41	4
48	7	0
48	8	2
48	21	2
48	22	3
48	31	3
49	3	4
49	7	3
49	30	1
49	39	0
50	14	0
50	17	2
50	19	2
50	20	4
50	21	0
50	25	3
50	39	4
50	42	1
50	44	1
50	45	3
