1	6	3
1	26	2
1	39	2
1	47	2
2	8	0
2	11	3
2	18	4
2	20	1
2	24	0
2	31	1
2	45	0
3	11	1
3	25	0
3	39	1
3	48	3
4	3	3
4	16	2
4	21	4
5	8	1
5	11	1
5	14	3
5	18	1
5	40	1
5	45	3
6	15	2
6	18	3
6	28	1
6	36	2
6	45	1
7	34	1
7	36	2
7	39	0
7	42	2
7	46	4
8	5	3
8	7	2
8	13	2
8	14	2
8	18	1
8	24	2
8	32	1
8	35	4
9	12	0
9	13	3
9	32	3
9	39	4
10	4	4
10	5	1
10	6	1
10	18	1
10	33	0
10	48	3
11	14	1
11	16	0
11	20	4
11	35	3
11	39	0
11	42	3
12	8	0
12	19	4
12	20	2
12	30	2
12	37	4
12	40	1
13	34	0
13	42	1
14	21	0
14	39	0
14	48	3
15	8	1
15	13	1
15	18	1
15	44	2
16	4	3
16	8	0
16	22	4
16	25	0
16	35	2
16	38	0
16	43	3
16	44	0
16	48	4
17	14	3
17	26	4
18	2	1
18	16	0
18	46	2
19	5	2
19	12	3
19	17	2
19	33	0
19	38	1
20	6	3
20	21	1
20	32	1
20	48	1
21	1	1
21	9	3
21	19	4
21	49	0
22	3	3
22	4	1
22	6	4
22	9	3
22	12	0
22	17	2
22	33	2
22	37	4
22	46	1
23	12	4
23	17	1
23	19	1
23	41	1
24	23	2
24	25	0
24	36	2
24	43	2
24	47	2
24	50	3
25	4	3
25	19	2
25	24	2
25	31	4
25	38	4
25	42	1
26	13	4
26	20	4
26	29	1
27	2	0
27	6	0
27	12	2
27	24	0
27	26	2
27	33	2
27	45	4
27	50	3
28	5	4
28	37	3
28	38	3
28	41	2
28	42	4
28	46	1
29	28	4
29	50	2
30	8	1
30	18	0
30	21	1
30	27	3
30	29	2
30	46	1
30	49	0
31	5	2
31	16	3
31	29	1
31	50	0
32	3	1
32	4	0
32	49	0
33	6	2
33	24	2
33	26	4
34	10	2
34	16	3
34	26	3
34	42	1
34	44	2
35	7	0
35	11	0
35	17	4
35	20	2
35	22	1
35	25	2
35	32	3
35	35	0
36	3	3
36	4	0
36	19	0
36	23	2
36	27	4
36	33	0
36	44	4
36	47	0
37	3	3
37	11	4
37	15	4
37	17	1
37	29	1
37	31	2
37	32	2
37	33	4
37	48	0
38	17	1
38	22	0
38	38	3
38	50	1
39	9	1
39	14	0
40	7	0
40	9	4
40	26	2
40	43	2
40	45	1
40	46	2
41	15	1
41	28	4
41	30	1
41	41	0
41	47	4
42	5	2
42	29	2
42	32	3
42	33	3
42	37	4
42	48	4
42	50	3
43	7	2
43	22	0
43	25	3
43	30	3
43	33	4
43	41	0
43	48	2
44	8	1
44	28	1
44	31	0
44	35	0
44	43	3
44	44	4
45	3	3
45	21	4
45	23	3
45	24	3
45	34	0
45	44	4
46	14	0
46	24	1
47	11	3
47	14	2
47	28	2
47	31	2
47	41	1
48	7	3
48	40	1
49	27	0
49	38	4
49	40	0
50	14	1
50	43	4
50	49	2
